genres,id,keywords,original_language,production_countries,spoken_languages,title
"Adventure, Action, Thriller, Science Fiction",604,"saving the world, artificial intelligence, man vs machine, martial arts, kung fu, underground world, dream, hero, fight, computer virus, key, future, plato, precognition, rave, dying and death, virtual reality, dystopia, computer, faith, world religion, truth, mission, cyberpunk, woman director, gnosticism",en,"Australia, United States of America",English,The Matrix Reloaded
"Action, Adventure, Fantasy",76338,"marvel comic, superhero, based on comic book, hostile takeover, norse mythology, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d, asgard",en,United States of America,English,Thor: The Dark World
"Action, Adventure, Science Fiction, Thriller",76341,"future, chase, post-apocalyptic, dystopia, australia, rescue, survival, on the run, convoy, peak oil, dark future",en,"Australia, United States of America",English,Mad Max: Fury Road
"Thriller, Mystery",13448,"rome, vatican, based on novel, symbolism, christian, illuminati, quantum mechanics, prequel, anti matter, conspiracy, investigator, catholicism, cern",en,"Italy, United States of America","English, Italiano, Latin, Français, Deutsch, 普通话",Angels & Demons
"Adventure, Fantasy, Action",10195,"new mexico, banishment, shield, marvel comic, hammer, superhero, based on comic book, redemption, norse mythology, aftercreditsstinger, marvel cinematic universe, 3d, asgard, odin, heimdall",en,United States of America,English,Thor
"Animation, Family, Adventure, Comedy",13053,"hamster, kids and family, animal, cat vs dog, duringcreditsstinger, dog cat friendship, animal lead, girl dog relationship",en,United States of America,English,Bolt
"Fantasy, Action, Adventure, Family, Comedy",19585,"dyr, duringcreditsstinger",en,United States of America,English,G-Force
Adventure,57165,"underworld, hades, mythology, greek mythology, zeus, perseus, gods, ancient greece, based on greek myth, ares, 3d",en,"Spain, United States of America",English,Wrath of the Titans
"Comedy, Fantasy",62213,"witch, imprisonment, vampire, curse, fish out of water, chains, gothic, madness, old house, lost love, angry mob, 18th century, ghost, hidden room, old mansion",en,"Australia, United States of America",English,Dark Shadows
"Action, Adventure, Thriller",177677,"london england, spy, austria, villain, sequel, mission, conspiracy, vienna opera, vienna",en,"China, United States of America","Deutsch, English, svenska",Mission: Impossible - Rogue Nation
"Drama, Horror, Thriller",7978,"father son relationship, victorian england, remake, rural setting, werewolf",en,United States of America,English,The Wolfman
"Family, Animation, Adventure, Comedy",5559,"factory worker, tennis, flower, florist, flower shop, pilot, college, airplane, beehive, court, aftercreditsstinger",en,United States of America,English,Bee Movie
"Animation, Family",49444,"martial arts, hope, fleet, panda, mission, woman director",en,United States of America,English,Kung Fu Panda 2
"Action, Adventure, Family, Fantasy",10196,"fire, ice, war ship, prince, kingdom, water, village, arrest, remake, attack, avatar, air, spirit, world, domination, cheering",en,United States of America,English,The Last Airbender
"Adventure, Action, Thriller",956,"berlin, cia, vatican, white house, secret identity, secret, explosive, mobile phone, map, traitor, mask, honeymoon, shanghai, pretended murder, secret mission, letter, funeral, covered investigation, to shoot dead, secret agent, video, stamp, hard drive, e-mail, decipherment, suitcase, computer, revenge, murder, mission, hospital, duel, disguise, celebration, good and bad, research laboratory, blast",en,"China, Germany, United States of America","Deutsch, English, Italiano, 普通话, Český, 广州话 / 廣州話",Mission: Impossible III
